Date,Description,Amount
03/04/2025,FCPA PARK SERVICES WFAIRFAX             VA,-143.00
02/25/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-42.38
02/25/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-27.52
02/25/2025,AMAZON MARKETPLACE NAMZN.COM/BILL       WA,-26.49
02/21/2025,AUTOPAY PAYMENT - THANK YOU,-4355.21
02/20/2025,THSRC 00020         KAOHSIUNG CIT,88.68
02/19/2025,UBER EATS           HTTPS://HELP.UBER.COTW,4.50
02/18/2025,AplPay FAR EASTERN DKAOHSIUNG CIT,3.98
02/18/2025,AplPay SHIN KONG DEPKAOHSIUNG CIT,44.46
02/18/2025,AplPay TAROKO PARK  KAOHSIUNG CIT,0.61
02/18/2025,AplPay TAROKO PARK  KAOHSIUNG CIT,0.61
02/18/2025,AplPay TAROKO PARK  KAOHSIUNG CIT,2.14
02/18/2025,AplPay TAROKO PARK  KAOHSIUNG CIT,2.14
02/18/2025,AplPay TAROKO PARK  KAOHSIUNG CIT,2.76
02/18/2025,AplPay TAROKO PARK  KAOHSIUNG CIT,2.76
02/17/2025,AplPay TUNG JENG 000KAOHSIUNG CIT,1.99
02/17/2025,AplPay TUNG JENG 000KAOHSIUNG CIT,51.78
02/17/2025,TUNG JENG 00043     KAOHSIUNG CIT,5.85
02/16/2025,AplPay FAR EASTERN DKAOHSIUNG CIT,16.08
02/16/2025,McDonald's RestauranKAOHSIUNG CIT,21.42
02/15/2025,AplPay TAROKO PARK  KAOHSIUNG CIT,36.76
02/15/2025,AplPay TAROKO PARK  KAOHSIUNG CIT,73.53
02/14/2025,AplPay HAN SHEN 0433KAOHSIUNG CIT,4.50
02/14/2025,AplPay HAN SHEN 0433KAOHSIUNG CIT,5.96
02/14/2025,AplPay HAN SHEN 0433KAOHSIUNG CIT,58.86
02/14/2025,AplPay TUNG JENG 000KAOHSIUNG CIT,238.79
02/13/2025,AplPay HAN SHEN 0433KAOHSIUNG CIT,14.93
02/13/2025,AplPay HAN SHEN 0433KAOHSIUNG CIT,83.19
02/12/2025,AplPay OSAKAMETRO FAOSAKA               JP,1.24
02/12/2025,AplPay TUNG JENG 000KAOHSIUNG CIT,30.18
02/12/2025,TUNG JENG 00043     KAOHSIUNG CIT,1.98
02/12/2025,TUNG JENG 00043     KAOHSIUNG CIT,2.90
02/11/2025,AplPay OSAKA MONORAIOSAKA               JP,3.26
02/11/2025,AplPay THSRC 00018  TAOYUAN CITY,3.96
02/11/2025,AplPay THSRC 00018  TAOYUAN CITY,16.46
02/11/2025,FCPA PARK SERVICES WFAIRFAX             VA,88.00
02/11/2025,FCPA PARK SERVICES WFAIRFAX             VA,143.00
02/11/2025,FCPA PARK SERVICES WFAIRFAX             VA,152.00
02/11/2025,KIX CHOKUEI MENZEI  *                   JP,96.29
02/11/2025,UNIQLO              *                   JP,339.58
02/10/2025,AplPay OSAKAMETRO FAOSAKA               JP,2.51
02/10/2025,FAMILY MART         *                   JP,3.14
02/10/2025,KITASHINCHIMAGCHE AIOSAKA               JP,76.94
02/10/2025,LALA PORT EXPOCITY -*                   JP,7.59
02/10/2025,LALA PORT EXPOCITY -*                   JP,34.48
02/10/2025,LALA PORT EXPOCITY -*                   JP,108.57
02/10/2025,LAWSON              *                   JP,1.21
02/10/2025,SHINOBIYA1          OSAKA               JP,17.82
02/09/2025,AplPay DAIKOKU DRUG OSAKA               JP,34.14
02/09/2025,AplPay SEVEN ELEVEN *                   JP,7.09
02/09/2025,AplPay SUNDRUG      JAPAN               JP,44.90
02/09/2025,LAWSON              *                   JP,1.52
02/09/2025,NAMBACITY           OSAKA               JP,14.35
02/09/2025,SUGI PHARMACY SHINSAOSAKA               JP,0.91
02/09/2025,TEPPANYAKI RIO OSAKA*                   JP,261.05
02/07/2025,UBER TRIP           HTTPS://HELP.UBER.COTW,9.44
02/06/2025,PAYPAL *ALLSTATEINS 4029357733          TX,567.40
