Date,Description,Amount
01/19/2025,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,22.99
01/19/2025,MEMBERSHIP FEE,550.00
01/12/2025,FCPA PARK SERVICES WFAIRFAX             VA,10.00
01/12/2025,LIDL #1523          MCLEAN              VA,23.28
01/12/2025,VIRGIN HOTELS LAS VELAS VEGAS           NV,-245.13
01/11/2025,UNITED AIRLINES     HOUSTON             TX,1442.01
01/08/2025,AplPay BEST BUY     VIENNA              VA,11.65
01/08/2025,Hilton Resort Credit,-200.00
01/06/2025,VIRGIN HOTELS LAS VELAS VEGAS           NV,245.13
01/05/2025,AMEX Flight Credit,-50.00
01/05/2025,AplPay CVS PHARMACY MC LEAN             VA,-25.58
01/05/2025,AplPay HONG KONG PALFALLS CHURCH        VA,68.00
01/04/2025,AplPay 99 RANCH MARKFAIRFAX             VA,80.69
01/04/2025,AplPay AIRBNB * HMEESAN FRANCISCO       CA,722.73
01/04/2025,AplPay LILLYS DUMPLIFAIRFAX             VA,10.46
01/04/2025,AplPay MOMO CAFE    FAIRFAX             VA,46.84
01/02/2025,AplPay TST* TEASN YOVIENNA              VA,4.24
01/02/2025,ORDER.NOODLES.COM   BROOMFIELD          CO,6.89
01/02/2025,UNITED AIRLINES     HOUSTON             TX,50.00
01/01/2025,AMEX Flight Credit,-50.00
01/01/2025,AplPay H MART FALLS FALLS CHURCH        VA,125.22
12/31/2024,AplPay SHIN CHUN SULANNANDALE           VA,110.99
12/31/2024,DAYCAREFEE* COLUMBIASEA GIRT            NJ,1550.00
12/31/2024,GA INST TECH PAYPATHLENEXA              KS,1277.00
12/31/2024,NIC*- DTA - TAX ONLIFAIRFAX             VA,582.62
12/31/2024,TN GA INST TECH PAYPLENEXA              KS,37.67
12/31/2024,VIRGIN HOTELS LAS VELAS VEGAS           NV,-266.44
12/30/2024,AplPay WHOLEFDS TYC#MCLEAN              VA,129.78
12/29/2024,AplPay MERA CORPORATCANCÚN,49.50
12/27/2024,UNITED AIRLINES     HOUSTON             TX,50.00
12/23/2024,CLEAR               NEW YORK,-199.00
12/22/2024,AplPay MARKET EXPRESBALTIMORE           MD,14.90
12/22/2024,AplPay MARKET EXPRESBALTIMORE           MD,22.24
12/22/2024,Hilton Resort Credit,-200.00
12/21/2024,AplPay DOLPAN       Fiarfax             VA,30.78
12/21/2024,AplPay GIANT 0758   MCLEAN              VA,47.46
12/21/2024,AplPay SO GONG DONG FAIRFAX             VA,24.19
12/21/2024,CLEAR  *CLEARME.COM CLEARME.COM         NY,199.00
12/20/2024,AplPay BANH CUON SAIFALLS CHURCH        VA,51.15
12/20/2024,AplPay CVS PHARMACY MC LEAN             VA,25.58
12/20/2024,AplPay MCDONALD'S   MC LEAN             VA,5.93
12/20/2024,VIRGIN HOTELS LAS VELAS VEGAS           NV,266.44
12/19/2024,AplPay EL TIO MCLEANMCLEAN              VA,58.75
12/19/2024,AplPay EXXONMOBIL 47ARLINGTON           VA,57.60
12/19/2024,AplPay WHOLEFDS TYS FALLS CHURCH        VA,10.59
12/19/2024,GOOGLE *YOUTUBEPREMI G.CO/HELPPAY#      CA,22.99
