Date,Description,Amount
09/06/2025,AplPay RITTMAN ORCHADoylestown          OH,28.00
09/06/2025,AplPay UMAMI NOODLE CUYAHOGA FLS        OH,25.83
09/05/2025,AplPay SP MAEVERLY  STOW                OH,101.42
09/04/2025,PANINIS 000000001   STOW                OH,42.01
09/02/2025,AplPay BOB EVANS RESCUYAHOGA FALLS      OH,36.43
09/01/2025,AplPay MCDONALD'S 20FAIRFAX             VA,1.58
08/30/2025,AplPay KFC J625261 0SOMERSET            PA,15.02
08/30/2025,CAFE MARK - PROVERBSCumberland          MD,10.23
08/28/2025,GOGI EN K BBQ 00-080SOLON               OH,215.68
08/27/2025,AplPay TARGET       STOW                OH,105.67
08/26/2025,AplPay THE CAFE IN SSTOW                OH,50.00
08/20/2025,AplPay BURGER KING  STOW                OH,3.99
08/20/2025,AplPay STORE        STOW                OH,2.02
08/18/2025,AplPay STORE        KENT                OH,3.29
08/16/2025,AplPay STORE        ERIE                PA,1.90
08/16/2025,SPECTRUM            ST LOUIS,-5.00
08/16/2025,SPECTRUM            ST LOUIS,-3.50
08/15/2025,SPECTRUM            855-707-7328        MO,70.00
08/14/2025,AplPay DUNKIN #34500CUYAHOGA FALL       OH,10.48
08/11/2025,AplPay DAIRY QUEEN  STOW                OH,14.98
08/11/2025,AplPay STORE        KENT                OH,1.59
08/10/2025,ONLINE PAYMENT - THANK YOU,-1324.58
08/10/2025,ONLINE PAYMENT - THANK YOU,-77.00
