Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
05/22/2025,MEMBERSHIP FEE,150.00,MEMBERSHIP FEE,MEMBERSHIP FEE,,,,,'320251423657031443',Fees & Adjustments-Fees & Adjustments
05/19/2025,AplPay STORE        KENT                OH,1.49,"######aHJUF FAST FOOD RESTAURANT
AplPay STORE
KENT
OH
FAST FOOD RESTAURANT",AplPay STORE        KENT                OH,4223 STATE RTE 43,"KENT
OH",44240,UNITED STATES,'320251410651152230',Restaurant-Bar & Café
05/19/2025,AplPay STORE        KENT                OH,1.99,"######aHIBt FAST FOOD RESTAURANT
AplPay STORE
KENT
OH
FAST FOOD RESTAURANT",AplPay STORE        KENT                OH,4223 STATE RTE 43,"KENT
OH",44240,UNITED STATES,'320251410651144245',Restaurant-Bar & Café
05/19/2025,AplPay STORE        KENT                OH,2.00,"######aHI4L FAST FOOD RESTAURANT
AplPay STORE
KENT
OH
FAST FOOD RESTAURANT",AplPay STORE        KENT                OH,4223 STATE RTE 43,"KENT
OH",44240,UNITED STATES,'320251410651143181',Restaurant-Bar & Café
05/19/2025,AplPay STORE        KENT                OH,2.00,"######aHK3G FAST FOOD RESTAURANT
AplPay STORE
KENT
OH
FAST FOOD RESTAURANT",AplPay STORE        KENT                OH,4223 STATE RTE 43,"KENT
OH",44240,UNITED STATES,'320251410651156175',Restaurant-Bar & Café
05/17/2025,YY TIME             CHICAGO             IL,76.09,"CH_3RPNXGAP +13127305592
YY TIME
CHICAGO
IL
+13127305592",YY TIME             CHICAGO             IL,"224 SOUTH MICHIGAN AVE
SUITE 400","CHICAGO
IL",60604,UNITED STATES,'320251380563180091',Restaurant-Restaurant
05/14/2025,AplPay STORE        HUDSON              OH,2.37,"######abOoF FAST FOOD RESTAURANT
AplPay STORE
HUDSON
OH
FAST FOOD RESTAURANT",AplPay STORE        HUDSON              OH,134 WEST STREETSBORO ST,"HUDSON
OH",44236,UNITED STATES,'320251360509583262',Restaurant-Bar & Café
05/13/2025,AplPay STORE        STOW                OH,1.79,"######RLS94 FAST FOOD RESTAURANT
AplPay STORE
STOW
OH
FAST FOOD RESTAURANT",AplPay STORE        STOW                OH,5020 DARROW RD,"STOW
OH",44224,UNITED STATES,'320251350487038057',Restaurant-Bar & Café
05/13/2025,AplPay STORE        STOW                OH,2.00,"######RLS9z FAST FOOD RESTAURANT
AplPay STORE
STOW
OH
FAST FOOD RESTAURANT",AplPay STORE        STOW                OH,5020 DARROW RD,"STOW
OH",44224,UNITED STATES,'320251350487038295',Restaurant-Bar & Café
05/12/2025,AplPay DAIRY QUEEN  STOW                OH,2.50,"20540435895 330-678-3025
AplPay DAIRY QUEEN
STOW
OH
Description : FAST FOOD RESTAURAN Price : 0.00
330-678-3025",AplPay DAIRY QUEEN  STOW                OH,3645 FISHCREEK RD,"STOW
OH",44224,UNITED STATES,'320251330422869318',Restaurant-Bar & Café
05/12/2025,AplPay DAIRY QUEEN  STOW                OH,6.47,"20511874359 330-678-3025
AplPay DAIRY QUEEN
STOW
OH
Description : FAST FOOD RESTAURAN Price : 0.00
330-678-3025",AplPay DAIRY QUEEN  STOW                OH,3645 FISHCREEK RD,"STOW
OH",44224,UNITED STATES,'320251330422782652',Restaurant-Bar & Café
05/12/2025,AplPay STORE        KENT                OH,1.49,"######a4tH6 FAST FOOD RESTAURANT
AplPay STORE
KENT
OH
FAST FOOD RESTAURANT",AplPay STORE        KENT                OH,4223 STATE RTE 43,"KENT
OH",44240,UNITED STATES,'320251340457399252',Restaurant-Bar & Café
05/12/2025,AplPay STORE        KENT                OH,4.69,"######a4xNq FAST FOOD RESTAURANT
AplPay STORE
KENT
OH
FAST FOOD RESTAURANT",AplPay STORE        KENT                OH,4223 STATE RTE 43,"KENT
OH",44240,UNITED STATES,'320251340457413770',Restaurant-Bar & Café
05/12/2025,AplPay STORE        KENT                OH,7.08,"######a4tc1 FAST FOOD RESTAURANT
AplPay STORE
KENT
OH
FAST FOOD RESTAURANT",AplPay STORE        KENT                OH,4223 STATE RTE 43,"KENT
OH",44240,UNITED STATES,'320251340457400200',Restaurant-Bar & Café
05/10/2025,AplPay STORE        STOW                OH,1.07,"######RCtF5 FAST FOOD RESTAURANT
AplPay STORE
STOW
OH
FAST FOOD RESTAURANT",AplPay STORE        STOW                OH,5020 DARROW RD,"STOW
OH",44224,UNITED STATES,'320251310375516598',Restaurant-Bar & Café
05/10/2025,BANGKOK THAI RESTAURSTOW                OH,13.95,"85347055131        USFC1NORT44224
BANGKOK THAI RESTAURAN
STOW
OH
USFC1NORT44224",BANGKOK THAI RESTAURSTOW                OH,3767 DARROW RD,"STOW
OH",44224-3603,UNITED STATES,'320251320400835618',Restaurant-Restaurant
05/09/2025,AplPay STORE        STOW                OH,2.79,"######RCrKg FAST FOOD RESTAURANT
AplPay STORE
STOW
OH
FAST FOOD RESTAURANT",AplPay STORE        STOW                OH,5020 DARROW RD,"STOW
OH",44224,UNITED STATES,'320251310375512067',Restaurant-Bar & Café
05/09/2025,TST* KPOT KOREAN BBQCANTON              OH,64.78,"99999995130 9179682888
TST* KPOT KOREAN BBQ & HO 300571264
CANTON
OH
Description : RESTAURANTS Price : 0.6478
9179682888",TST* KPOT KOREAN BBQCANTON              OH,4100 BELDEN VLG ST,"CANTON
OH",44718,UNITED STATES,'320251300344047028',Restaurant-Restaurant
05/05/2025,AplPay DAIRY QUEEN #HURON               OH,8.49,"00000000003 419-433-2946
AplPay DAIRY QUEEN #12683 0000
HURON
OH
Description : FAST FOOD RESTAURAN Price : 0.00
419-433-2946",AplPay DAIRY QUEEN #HURON               OH,428 CLEVELAND RD EAST,"HURON
OH",44839,UNITED STATES,'320251250212833546',Restaurant-Bar & Café
05/05/2025,AplPay DAIRY QUEEN #HURON               OH,17.27,"04114601485 419-433-2946
AplPay DAIRY QUEEN #12683 OLO 0000
HURON
OH
Description : FAST FOOD RESTAURAN Price : 0.00
419-433-2946",AplPay DAIRY QUEEN #HURON               OH,428 CLEVELAND RD EAST,"HURON
OH",44839,UNITED STATES,'320251260229391219',Restaurant-Bar & Café
05/05/2025,AplPay MCDONALD'S   ELYRIA              OH,6.19,"######PHW6R FAST FOOD RESTAURANT
AplPay MCDONALD'S
ELYRIA
OH
FAST FOOD RESTAURANT",AplPay MCDONALD'S   ELYRIA              OH,2102 RIV AVE,"SANDUSKY
OH",44870,UNITED STATES,'320251270262834141',Restaurant-Bar & Café
05/05/2025,AplPay MCDONALD'S   ELYRIA              OH,11.49,"######PHWxG FAST FOOD RESTAURANT
AplPay MCDONALD'S
ELYRIA
OH
FAST FOOD RESTAURANT",AplPay MCDONALD'S   ELYRIA              OH,2102 RIV AVE,"SANDUSKY
OH",44870,UNITED STATES,'320251270262836003',Restaurant-Bar & Café
05/04/2025,AplPay MCDONALD'S   ELYRIA              OH,3.24,"######PUVoY FAST FOOD RESTAURANT
AplPay MCDONALD'S
ELYRIA
OH
FAST FOOD RESTAURANT",AplPay MCDONALD'S   ELYRIA              OH,2118 CLEVELAND RD WEST,"HURON
OH",44839,UNITED STATES,'320251260237336894',Restaurant-Bar & Café
05/04/2025,AplPay STORE        STOW                OH,5.79,"######R1jwn FAST FOOD RESTAURANT
AplPay STORE
STOW
OH
FAST FOOD RESTAURANT",AplPay STORE        STOW                OH,5020 DARROW RD,"STOW
OH",44224,UNITED STATES,'320251260237322166',Restaurant-Bar & Café
05/04/2025,AplPay WENDY'S 002 0SANDUSKY            OH,7.00,"1253743744  4196263905
AplPay WENDY'S 002 000000002
SANDUSKY
OH
Description : FAST FOOD REST. Price : 0.07
4196263905",AplPay WENDY'S 002 0SANDUSKY            OH,324 WEST PERKINS AVE,"SANDUSKY
OH",44870,UNITED STATES,'320251250201175437',Restaurant-Bar & Café
05/04/2025,MEKONG LLC 0000     SANDUSKY            OH,60.50,"56000046    419-502-9476
MEKONG LLC 0000
SANDUSKY
OH
Description : FOOD/BEVERAGE Price : 0.00
419-502-9476",MEKONG LLC 0000     SANDUSKY            OH,331 MILAN AVE,"SANDUSKY
OH",44870,UNITED STATES,'320251250205272672',Restaurant-Restaurant
05/03/2025,AplPay APPB 9919 - PSTOW                OH,100.00,"875425     875425           44224
AplPay APPB 9919 - POS AAG
STOW
OH
875425           44224",AplPay APPB 9919 - PSTOW                OH,3528 HUDSON DR,"STOW
OH",44224-2907,UNITED STATES,'320251230151303555',Restaurant-Restaurant
05/02/2025,AplPay APPB 9919 - TSTOW                OH,10.00,"875403-1   8754031          44224
AplPay APPB 9919 - TED AAG
STOW
OH
8754031          44224",AplPay APPB 9919 - TSTOW                OH,3528 HUDSON DR,"STOW
OH",44224-2907,UNITED STATES,'320251230148866645',Restaurant-Restaurant
04/26/2025,AMAZON MARKEPLACE NA PA,18.14,"796688FMFY4 MERCHANDISE
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
MERCHANDISE",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320251170974637099',Merchandise & Supplies-Internet Purchase
04/24/2025,BUFFALO WILD ECOM 40CUYAHOGA FALL       OH,13.99,"27386       419-980-1267
BUFFALO WILD ECOM 4062 0663
CUYAHOGA FALL
OH",BUFFALO WILD ECOM 40CUYAHOGA FALL       OH,3001 STATE RD,"CUYAHOGA FALLS
OH",44223,UNITED STATES,'320251150917066730',Restaurant-Restaurant
