Date,Description,Amount
06/19/2025,AplPay J &  K SUBWAYNORTH CANTON        OH,3.95
06/19/2025,AplPay WENDYS 1859 0STOW                OH,23.49
06/17/2025,THE CAFE IN STOW 027STOW                OH,63.00
06/16/2025,AplPay STORE        HUDSON              OH,6.69
06/15/2025,AplPay PAPA JOHN'S  STOW                OH,52.85
06/14/2025,AplPay TEXAS ROADHOUSTOW                OH,129.36
06/13/2025,AplPay DAIRY QUEEN  STOW                OH,12.66
06/13/2025,AplPay STORE        KENT                OH,5.85
06/13/2025,AplPay STORE        KENT                OH,5.85
06/12/2025,UEP*PACIFIC EAST 000KENT                OH,21.45
06/11/2025,AplPay MCDONALD'S 20DAYTON              OH,1.00
06/11/2025,AplPay MCDONALD'S 20DAYTON              OH,1.08
06/11/2025,HOME2 SUITES BY HILTMIAMISBURG          OH,185.07
06/11/2025,TENSUKE RAMEN       Columbus            OH,72.95
06/10/2025,AplPay STORE        CUYAHOGA FALLS      OH,5.89
06/10/2025,AplPay STORE        CUYAHOGA FALLS      OH,5.89
06/10/2025,TENSUKE MARKET      Columbus            OH,60.10
06/09/2025,AplPay MCDONALD'S   UNIONTOWN           OH,4.99
06/09/2025,AplPay MCDONALD'S   UNIONTOWN           OH,4.99
06/09/2025,AplPay STORE        KENT                OH,2.02
06/08/2025,ACME NO. 17         STOW                OH,100.00
06/08/2025,YY TIME             CHICAGO             IL,113.31
06/07/2025,AplPay STORE        GROVE CITY          PA,6.88
06/07/2025,AplPay STORE        GROVE CITY          PA,7.62
06/07/2025,Hilton Statement Credit,-50.00
06/06/2025,CAFE 33 000000001   PITTSBURGH          PA,115.00
06/05/2025,AplPay CHICK-FIL-A #MAYFIELD HEIGHTS    OH,61.77
06/05/2025,AplPay TST* ANCHOR BAMHERST             NY,72.00
06/05/2025,HAMPTON INNS HAMPTONNIAGARA FALLS       NY,193.27
06/04/2025,AplPay MCDONALD'S 19EDISON              NJ,1.39
06/04/2025,AplPay MCDONALD'S 19EDISON              NJ,3.23
06/04/2025,AplPay MCDONALD'S 19EDISON              NJ,10.80
06/03/2025,AplPay KFC J433007 0CUYAHOGA FALL       OH,10.00
06/03/2025,MARKET DISTRICT #403CUYAHOGA FALL       OH,60.46
06/01/2025,AplPay STORE        CUYAHOGA FALLS      OH,1.55
06/01/2025,AplPay STORE        CUYAHOGA FALLS      OH,1.99
06/01/2025,AplPay STORE        CUYAHOGA FALLS      OH,2.00
06/01/2025,AplPay STORE        CUYAHOGA FALLS      OH,2.00
05/31/2025,AplPay APPB 9919 - PSTOW                OH,50.00
05/31/2025,KOREA HOUSE 43684555CLEVELAND           OH,107.03
05/30/2025,AplPay CHIPOTLE MEX NEWPORT BEACH       CA,31.80
05/30/2025,ONLINE PAYMENT - THANK YOU,-606.65
05/29/2025,AplPay BANGKOK THAI STOW                OH,49.80
05/27/2025,AplPay ROI ET 739710NORTHWOOD           OH,61.93
05/27/2025,AplPay STORE        STOW                OH,1.99
05/27/2025,AplPay STORE        STOW                OH,7.92
05/26/2025,AplPay PY *KUNG FU TCOLUMBUS            OH,5.65
05/26/2025,AplPay PY *KUNG FU TCOLUMBUS            OH,6.60
05/25/2025,AplPay PY *KUNG FU TCOLUMBUS            OH,6.60
05/24/2025,BANGKOK THAI RESTAURSTOW                OH,9.95
05/23/2025,AplPay STORE        CUYAHOGA FALLS      OH,5.89
05/22/2025,AplPay UEP*LU CHA 00STOW                OH,4.99
05/22/2025,TST* KPOT KOREAN BBQCANTON              OH,52.32
