Trans. Date,Post Date,Description,Amount,Category
02/15/2025,02/15/2025,"LOWE'S OF STOW, OH STOW OHAPPLE PAY ENDING IN 9002",100.00,"Home Improvement"
02/15/2025,02/15/2025,"MCDONALD'S F11579 STOW OHAPPLE PAY ENDING IN 8399",2.19,"Restaurants"
02/14/2025,02/14/2025,"GOGI EN K BBQ SOLON OH",131.65,"Restaurants"
02/14/2025,02/14/2025,"PANERA BREAD #204626 K STOW OHAPPLE PAY ENDING IN 839901452R",6.99,"Restaurants"
02/13/2025,02/13/2025,"ACE HARDWARE CORPORATION 888-827-4223 IL",2.12,"Home Improvement"
02/11/2025,02/11/2025,"ACE HDWE HUDSON OHAPPLE PAY ENDING IN 9002",3.84,"Home Improvement"
02/11/2025,02/11/2025,"MCDONALDS 31878 KENT OHAPPLE PAY ENDING IN 9002",2.70,"Restaurants"
02/10/2025,02/10/2025,"MCDONALD'S F31878 KENT OHAPPLE PAY ENDING IN 9002",1.92,"Restaurants"
02/09/2025,02/09/2025,"MCDONALDS 2542 CUYAHOGA FALLOH",5.40,"Restaurants"
02/08/2025,02/08/2025,"BURGER KING #5434 Q07 CUYAHOGA FALLOHAPPLE PAY ENDING IN 9002",6.49,"Restaurants"
02/08/2025,02/08/2025,"KING DRAGON STOW OH",24.50,"Restaurants"
02/06/2025,02/06/2025,"DUNKIN #353699 STOW OHAPPLE PAY ENDING IN 8399",7.99,"Restaurants"
02/06/2025,02/06/2025,"SQ *MING'S BUBBLE TEA HUDSON OHAPPLE PAY ENDING IN 83990002305843021406773740",5.08,"Supermarkets"
02/03/2025,02/03/2025,"BANGKOK THAI RESTAURANT AKRON OH",15.95,"Restaurants"
02/03/2025,02/03/2025,"WENDYS 1793 KENT OHAPPLE PAY ENDING IN 9002",7.00,"Restaurants"
02/03/2025,02/03/2025,"WENDYS 1793 KENT OHAPPLE PAY ENDING IN 9002",10.70,"Restaurants"
02/01/2025,02/01/2025,"LOWE'S OF STOW, OH STOW OHAPPLE PAY ENDING IN 9002",100.00,"Home Improvement"
02/01/2025,02/01/2025,"MCDONALDS 11579 STOW OH",1.69,"Restaurants"
02/01/2025,02/01/2025,"MCDONALDS 11579 STOW OHAPPLE PAY ENDING IN 9002",2.80,"Restaurants"
02/01/2025,02/01/2025,"MCDONALDS 11579 STOW OHAPPLE PAY ENDING IN 9002",5.08,"Restaurants"
02/01/2025,02/01/2025,"THE HOME DEPOT #3809 CUYAHOGA FLS OHAPPLE PAY ENDING IN 9002",21.33,"Home Improvement"
01/30/2025,01/30/2025,"THE CAFE IN STOW STOW OH",36.98,"Restaurants"
01/28/2025,01/28/2025,"BANGKOK THAI RESTAURANT AKRON OHAPPLE PAY ENDING IN 9002",9.95,"Restaurants"
01/28/2025,01/28/2025,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-9.39,"Awards and Rebate Credits"
01/28/2025,01/28/2025,"INTERNET PAYMENT - THANK YOU",-159.73,"Payments and Credits"
01/26/2025,01/26/2025,"MCDONALDS 11579 STOW OHAPPLE PAY ENDING IN 9002",1.73,"Restaurants"
01/26/2025,01/26/2025,"MCDONALDS 11579 STOW OH",2.69,"Restaurants"
01/25/2025,01/25/2025,"MCDONALDS 11579 STOW OH",1.69,"Restaurants"
01/24/2025,01/24/2025,"MCDONALD'S F11579 STOW OHAPPLE PAY ENDING IN 9002",0.97,"Restaurants"
01/21/2025,01/21/2025,"YY TIME 3127305592 ILAPPLE PAY ENDING IN 9002",53.48,"Restaurants"
01/19/2025,01/19/2025,"GRAETERS38 COLUMBUS OHAPPLE PAY ENDING IN 9002",7.70,"Restaurants"
01/19/2025,01/19/2025,"PY *KUNG FU TEA COLUMBUS OHAPPLE PAY ENDING IN 9002",6.60,"Restaurants"
01/19/2025,01/19/2025,"SQ *TENSUKE RAMEN COLUMBUS OHAPPLE PAY ENDING IN 90020002305843021292208859",38.65,"Restaurants"
01/18/2025,01/18/2025,"LOWE'S OF STOW, OH STOW OH",75.00,"Home Improvement"
01/17/2025,01/17/2025,"DUNKIN #345001 CUYAHOGA FALLOH",7.99,"Restaurants"
